question,faithfulness,answer_relevancy,context_precision
What is the inhabitant of the city where  122nd SS-Standarte was formed in2014,0.3333333333333333,0.6541195921363289,0.0
What color clothing do people of the Netherlands wear during Oranjegekte or to celebrate the national holiday Koningsdag? ,1.0,0.9016951144705772,0.99999999995
"What was the name of the 1996 loose adaptation of William Shakespeare's ""Romeo & Juliet"" written by James Gunn?",0.0,0.44514248424825403,0.99999999995
Robert Suettinger was the national intelligence officer under which former Governor of Arkansas?,1.0,0.5952698048436508,0.9999999999
What American professional Hawaiian surfer born 18 October 1992 won the Rip Curl Pro Portugal?,0.8,0.7561683470574563,0.99999999995
What is the middle name of the actress who plays Bobbi Bacha in Suburban Madness?,1.0,0.9999999999996323,0.0
Alvaro Mexia had a diplomatic mission with which tribe of indigenous people?,0.75,0.6066074076911331,0.0
What nationality were social anthropologists Alfred Gell and Edmund Leach?,1.0,0.7100667144255245,0.8666666666377778
In which year was the King who made the 1925 Birthday Honours born?,1.0,0.6360624209178626,0.49999999995
"What is the county seat of the county where East Lempster, New Hampshire is located?",1.0,0.7303692552498827,0.7555555555303703
The Album Against the Wind was the 11th Album of a Rock singer Robert C Seger born may 6 1945. What was the Rock singers stage name ?,0.75,0.6436544484708638,0.99999999995
Rostker v. Goldberg held that the practice of what way of filling armed forces vacancies was consitutional?,1.0,0.5798262076602906,0.99999999995
"Handi-Snacks are a snack food product line sold by what American multinational confectionery, food, and beverage company that is based in Illinois?",1.0,0.7522513988783843,0.99999999995
"What was the name of a woman from the book titled ""Their Lives: The Women Targeted by the Clinton Machine "" and was also a former white house intern?",,0.5981803919687039,0.8874999999778125
"When was the American lawyer, lobbyist and political consultant who was a senior member of the presidential campaign of Donald Trump born?",1.0,0.5893778321207039,0.9999999999
"In what year was the novel that Lourenço Mutarelli based ""Nina"" on based first published?",0.75,0.5609373017467518,0.0
Where are Teide National Park and Garajonay National Park located?,1.0,0.9999999999997072,0.94999999997625
How many copies of Roald Dahl's variation on a popular anecdote sold?,1.0,0.5644731904042035,0.49999999995
What occupation do Chris Menges and Aram Avakian share?,1.0,0.5349277744136114,0.36666666664833336
Andrew Jaspan was the co-founder of what not-for-profit media outlet?,1.0,0.5027280216895164,0.99999999995
Which American film director hosted the 18th Independent Spirit Awards in 2002?,1.0,0.8902433392303996,0.9999999999
Where does the hotel and casino located in which Bill Cosby's third album was recorded?,1.0,0.5949964678300803,0.99999999995
Do the drinks Gibson and Zurracapote both contain gin?,,0.7037542596916233,0.9999999999
"In what month is the annual documentary film festival, that is presented by the fortnightly published British journal of literary essays, held? ",1.0,0.6993688403426573,0.49999999995
Tysons Galleria is located in what county?,1.0,0.9275910513007747,0.94999999997625
Bordan Tkachuk was the CEO of a company that provides what sort of products?,1.0,0.5451692951567256,0.0
"Which filmmaker was known for animation, Lev Yilmaz or Pamela B. Green?",0.5,0.6937045602014645,0.9999999999
In which city is the ambassador of the Rabat-Salé-Kénitra administrative region to China based?,0.6666666666666666,0.7095519586275976,0.49999999995
Are Yingkou and Fuding the same level of city?,,0.9109662071563562,0.0
Where did the descendants of the group of black Indians associated with the Seminole people settle?,1.0,0.8669457883586098,0.3333333333
David Huntsinger has worked with this gospel singer born in the month of July?,0.6666666666666666,0.741477938583791,0.999999999975
What year was the brother of this first round draft pick by the Washington Redskins drafted?,0.6666666666666666,0.7877046103403543,0.0
Where is the stadium at which 1964 Georgia Tech Yellow Jackets football team played their home game located? ,1.0,0.9531219070094923,0.9999999999666667
"Since 2 June 2017, The Leader of Fine Gael had been held by which Irish Fine Gael politician who has served as Taoiseach and Minister for Defence?",0.75,0.8686939003458919,0.9999999999666667
Which American film actor and dancer starred in the 1945 film Johnny Angel?,,0.7910033597706453,0.99999999995
hree Men on a Horse is a play by a playwright born in which year ?,0.3333333333333333,0.4858833406345582,0.0
What type of activity does Owner earnings and Warren Buffett have in common?,1.0,0.6516649368792251,0.699999999965
When was the  former Indian cricketer who made his ODI debuts during the 2000 ICC KnockOut Trophy born? ,1.0,0.608279907605284,0.5833333333041666
"Which airplane was this Major test-flying after whom the base, that 514th Flight Test Squadron is stated at, is named?",0.5,0.5645789860548197,0.49999999995
"Based on a True Story... is an album by which country music star, with the single My Eyes?",1.0,0.5918982771924939,0.99999999995
"Over how many centuries were the ""dwelling place of the dead"" built?",0.3333333333333333,0.5810513288797551,0.3333333333
"When was the British author who wrote the novel on which ""Here We Go Round the Mulberry Bush"" was based born? ",0.75,0.9863529123179422,0.0
"Who died first, George Archainbaud or Ralph Murphy?",1.0,0.9562737035693839,0.7499999999625
Which component of shellite has the formula (ON)CHOH?,1.0,0.6134436131038191,0.9999999999
The Argentine PGA Championship record holder has won how many tournaments worldwide?,1.0,0.7191674033765731,0.49999999995
Suicide's 1977 released album features a song based on what brand's comic character?,1.0,0.5135153474046358,0.49999999995
What other political position did the person who introduced the DISCLOSE Act hold?,0.25,0.8666066853310798,0.0
Were the bands Skin Yard and Ostava from the U.S.?,0.5,0.7522747861178049,0.9999999999
Are Daryl Hall and Gerry Marsden both musicians?,1.0,0.424753039593927,0.19999999998
What major truck road is located in Backford Cross?,0.5,0.759114557196474,0.4499999999775
In which role did Caroline Carver played in a 1999 Hallmark Entertainment made-for-TV fantasy movie?,1.0,0.5010732739140977,0.99999999995
"What's the name of the fantasy film starring Sarah Bolger, featuring a New England family who discover magical creatures around their estate?",1.0,0.5036802958386674,0.9999999999
Maxeda has been owned since 2004 by which American multinational equity firm?,1.0,0.773206378011713,0.99999999995
The youngest daughter of Lady Mary-Gaye Curzon stars with Douglas Smith and Lucien Laviscount  in what 2017 film?,1.0,0.45616820524450635,0.99999999995
Mummulgum is a stop on the Bruxner Highway before reaching the town on the banks of which river?,1.0,0.7545619695305797,0.49999999995
"Which American audio engineer and clandestine chemist, who was a key figure in the San Francisco Bay Area hippie movement during the 1960s recorded the album ""Old and in the Way?""",1.0,0.7343275767469212,0.99999999995
When was the palace founded at which Columba de Dunbar died in 1435?,1.0,0.5886491740530089,0.0
"Where is the Bubblegum Alley, that is similar to Gum Wall, located in California?",1.0,0.8350219208169066,0.99999999995
"At what venue was the January 2, 2012 game featured the University of Louisville team?",0.5,0.8353706095295519,0.0
"Which film was Oscar nominated, LaLee's Kin: The Legacy of Cotton or Gimme Shelter, the 1970 Rolling Stones documentary?",0.5,0.5214713950271985,0.8055555555287036
"Which board game was published most recently, Pirate's Cove or Catan?",0.6666666666666666,0.7198295497654431,0.9999999999
Alice David is the voice of Lara Croft in a video game developed by which company ?,1.0,0.7789966404117199,0.5833333333041666
"Which Eminem album included vocals from a singer who had an album titled ""Unapologetic""?",1.0,0.6645538533875478,0.9999999999
"This American crime film set in South Los Angeles was written and directed by the same director and writer of screenwriter of ""Street Kings"", ""End of Watch"", ""Sabotage"", ""Fury"" and what other film? ",0.75,0.5287813824033694,0.49999999995
SuperMansion starred the actress who had a recurring role as whom on Workaholics?,1.0,0.6194829426806185,0.9999999999
"The 1974 Texas Tech Raiders football team represented what public research university in Lubbock, Texas?",1.0,0.7333687417778344,0.99999999995
"During Siege of Bharatpur, which Commander-in-Chief of Ireland and Commander-in-Chief of India contributed to the storming of the castle?",0.6666666666666666,0.7412457610495394,0.8333333332916666
For what type of work is the production company for The Year Without a Santa Claus best known?,1.0,0.570532366836281,0.7555555555303703
"What year was the film that starred the composer for ""The Naked Brothers Band""?",1.0,0.0,0.0
The author of Sexual Politics attended which British University?,1.0,0.5595269295042673,0.9999999999
"Who had the best singles ranking, Roberta Vinci or Jorge Lozano?",1.0,0.9387054190347842,0.5888888888692593
Both Truth in Science and Discovery embrace what campaign?,1.0,0.5662816167569323,0.8666666666377778
"Josey Scott and Ian Watkins were both promising musicians. Which of these talented men was incarcerated, impacting his career with a rock band?",0.7142857142857143,0.6013406657881589,0.5833333333041666
The movies Queen of Blood and Battle Beyond the Sun both contained scenes from what 1959 Soviet feature?,0.5,0.6484610042477487,0.9999999999666667
"Who was born first, Erika Jayne or Marco Da Silva",1.0,0.7804230298531157,0.9999999999
"When did the English local newspaper, featuring the sculpture and war memorial in the Forbury gardens, change names?",1.0,0.5790745654961919,0.3333333333
What is the name of the Isles who were led by Aonghus Mór and covered a total land area of over 8300 km2?,1.0,0.7235857512767744,0.7499999999625
"Who is Bruce Spizer an expert on, known as the most influential act of the rock era?",1.0,0.6231836552807771,0.9999999999666667
"Which song was behind the third single on the album  ""A Lot About Livin' (And a Little 'bout Love)"" for two weeks on the country charts?",1.0,0.710587610716054,0.3333333333
